description,category,unit,qty_on_hand,unit_cost,total_cost,item_number,model_number,item_class,asset_recommended
JM EAGLE 4 in. x 10 ft. Rigid PVC SDR35 Gravity Sewer Pipe White Belled End,Plumbing / PVC Pipe,EA,2,28.52,57.04,,,Inventory,No
UNIVERSAL HARDWARE Heavy Duty Commercial Cylindrical Privacy Lever ADA UL 3-Hour Fire ANSI Grade 2 Satin Chrome,Hardware / Commercial Door Hardware,EA,1,64.30,64.30,,,Inventory,No
RIDGID Genuine General Debris Pleated Shop Vacuum Filter Replacement for Most 5-16 Gal RIDGID Wet Dry Vacs 4-Pack VF4200A,Shop Supplies / Vacuum Filters,PACK,1,49.97,49.97,,VF4200A,Inventory,No
RIDGID Genuine Fine Dust Pleated Paper Shop Vacuum Filter Replacement for Most 3-4.5 Gal RIDGID Wet Dry Vacs 1-Pack VF3500,Shop Supplies / Vacuum Filters,EA,4,18.97,75.88,,VF3500,Inventory,No
Commercial Door Closer FH-8400 Heavy Duty Adjustable Grade 1 Standard Automatic Door Closing Hinge ADA Compliant UL CUL UL10C Listed Aluminum Finish High Traffic Silver,Hardware / Commercial Door Closers,EA,1,99.99,99.99,,FH-8400,Inventory,No
HISAFE Keyed Entry Grade 2 Commercial Door Locks Heavy Duty Office Door Lever Non-Handed UL 3 Hour Fire Rated ADA Compliant Satin Chrome Finish 26D 2-3/4 Backset X-G-ET-70,Hardware / Commercial Door Hardware,EA,1,66.49,66.49,,X-G-ET-70,Inventory,No
AmGood Stainless Steel Dual Foot Pedal Valve Control for Faucet,Plumbing / Commercial Faucet Controls,EA,3,29.06,87.17,,,Inventory,No
XRDS-RF 16 AWG Marine Wire 100FT 2-Conductor Duplex Marine Grade Boat Cable Red Black,Electrical / Marine Wire,ROLL,1,48.99,48.99,,,Inventory,No
XRDS-RF 14 AWG Marine Wire 100FT 2-Conductor Duplex Marine Grade Boat Cable Red Black,Electrical / Marine Wire,ROLL,1,53.99,53.99,,,Inventory,No
XRDS-RF 12 AWG Marine Wire 10FT 2-Conductor Duplex Marine Grade Boat Cable Red Black,Electrical / Marine Wire,ROLL,1,79.99,79.99,,,Inventory,No
Fluke 1AC II VoltAlert Non-Contact Voltage Tester Pocket-Sized 90-1000V AC Audible Beeper CAT IV Rated,Electrical Tools / Testers,EA,2,17.49,34.98,,1AC II,Asset,Yes
KOHLER 4636-RL-7 Cachet ReadyLatch Elongated Toilet Seat Slow Close Soft Close Quiet Lid Black,Plumbing / Toilet Seats,EA,5,13.54,67.71,,4636-RL-7,Inventory,No
Fits 6x6 Duct Opening 2 Way Steel Air Supply Diffuser by Handua Register Vent Cover Grille White 7.75 x 7.75,HVAC / Registers & Diffusers,EA,2,8.17,16.33,,,Inventory,No
TEKTON 1-5/8 Inch Combination Wrench,Hand Tools / Wrenches,EA,1,59.95,59.95,,WCB23041,Asset,Yes
TEKTON 1-13/16 Inch Combination Wrench,Hand Tools / Wrenches,EA,1,75.00,75.00,,WCB23046,Asset,Yes
TEKTON 1-15/16 Inch Combination Wrench,Hand Tools / Wrenches,EA,1,90.00,90.00,,WCB23049,Asset,Yes
TEKTON 1-7/8 Inch Combination Wrench,Hand Tools / Wrenches,EA,1,86.00,86.00,,WCB23048,Asset,Yes
Amico Bathroom Exhaust Fan 2 Pack 80 CFM 1.0 Sones Low Noise Ceiling Mounted Retrofit Ventilation Fans No Attic Access Needed UL Certified,HVAC / Exhaust Fans,PACK,1,79.99,79.99,,,Inventory,No
Stainless Steel Utility Sink 35 Inch Single Bowl Kitchen Sink with Cold Hot Water Pipe Standard P-trap Drainage Black,Plumbing / Utility Sinks,EA,1,259.99,259.99,,,Inventory,No
Stainless Steel Utility Sink 39 Inch Single Bowl Kitchen Sink with Cold Hot Water Pipe Standard P-trap Drainage Black,Plumbing / Utility Sinks,EA,1,299.99,299.99,,,Inventory,No
BHA Metal and Stainless Steel Thin Cut Off Wheels for Angle Grinders 6 x .045 x 7/8 25 Pack,Abrasives / Cut-Off Wheels,PACK,10,32.26,322.60,,,Inventory,No
Diablo Steel Demon Cermet II Saw Blade for Thick Metal 8 Inch 42 TCG Teeth 5/8 Arbor D0842CF,Cutting Tools / Metal Saw Blades,EA,4,39.80,159.20,,D0842CF,Asset,Yes
Stainless Steel Utility Sink 25 Inch Single Bowl Kitchen Sink with Cold Hot Water Pipe Standard P-trap Drainage Black,Plumbing / Utility Sinks,EA,1,209.99,209.99,,,Inventory,No
Klein Tools D507-6 Adjustable Wrench Extra Capacity Jaw High Polish Chrome 6-1/2 Inch,Hand Tools / Adjustable Wrenches,EA,4,25.99,103.96,,D507-6,Asset,Yes
Klein Tools D507-8 Adjustable Wrench Extra Capacity Jaw High Polish Chrome 8 Inch,Hand Tools / Adjustable Wrenches,EA,4,29.14,116.56,,D507-8,Asset,Yes
TEKTON 1-3/4 Inch Combination Wrench,Hand Tools / Wrenches,EA,2,75.00,150.00,,WCB23044,Asset,Yes
